déjà|d/e_aigu/j/a=à
demain|d/e_caduc/m/ain
demander|d/e_caduc/m/an/d/er
dent|d/en_an/*t
déraper|d/e_aigu/r/a/p/er
dernier|d/e_ouvert/r/n/i_yod/er
derrière|d/e_ouvert/rr/i_yod/e_grave/r/*e
désert|d/e_aigu/s_z/e_ouvert/r/*t
dessert|d/e_ferme/ss/e_ouvert/r/*t
dessiner|d/e_ferme/ss/i/n/er
deux|d/eu/*x
dimanche|d/i/m/an/ch/*e
dindon|d/in/d/on
dinosaure|d/i/n/o/s_z/au/r/*e
dire|d/i/r/*e
disputer|d/i/s_s/p/u/t/er
dix|d/i/x_s
doigt|d/oi/*g/*t
domino|d/o/m/i/n/o
donner|d/o/nn/er
dormir|d/o/r/m/i/r
dos|d/o/*s
douche|d/ou/ch/*e
doux|d/ou/*x
douze|d/ou/z/*e
dragon|d/r/a/g_g/on
drap|d/r/a/*p
drapeau|d/r/a/p/eau
droit|d/r/oi/*t
drôle|d/r/o=ô/l/*e
dromadaire|d/r/o/m/a/d/ai_ouvert/r/*e
dur|d/u/r
durer|d/u/r/er
duvet|d/u/v/et_ouvert
eau|eau
écharpe|e_aigu/ch/a/r/p/*e
éclairer|e_aigu/c_k/l/ai_ferme/r/er
école|e_aigu/c_k/o/l/*e
effacer|e_ferme/ff/a/c_s/er
église|e_aigu/g_g/l/i/s_z/*e
élan|e_aigu/l/an
éléphant|e_aigu/l/e_aigu/ph/an/*t
élève|e_aigu/l/e_grave/v/*e
encore|en_an/c_k/o/r/*e
enfants|en_an/f/an/*t/*s
enfin|en_an/f/in
ensuite|en_an/s_s/u_glisse/i/t/*e
épée|e_aigu/p/e_aigu/*e
été|e_aigu/t/e_aigu
étiquette|e_aigu/t/i/qu/e_ouvert/tt/*e
étoile|e_aigu/t/oi/l/*e
facile|f/a/c_s/i/l/*e
farine|f/a/r/i/n/*e
fée|f/e_aigu/*e
femme|f/e_a/mm/*e
fenêtre|f/e_caduc/n/e_circonflexe/t/r/*e
fermer|f/e_ouvert/r/m/er
fermier|f/e_ouvert/r/m/i_yod/er
fermière|f/e_ouvert/r/m/i_yod/e_grave/r/*e
fête|f/e_circonflexe/t/*e
feu|f/eu
fil|f/i/l
fillette|f/ill_ij/e_ouvert/tt/*e
film|f/i/l/m
fils|f/i/*l/s_s
flèche|f/l/e_grave/ch/*e
fleur|f/l/eu/r
flocon|f/l/o/c_k/on
flute|f/l/u/t/*e
folle|f/o/ll/*e
fontaine|f/on/t/ai_ouvert/n/*e
forêt|f/o/r/e_circonflexe/*t
fossé|f/o/ss/e_aigu
four|f/ou/r
fourchette|f/ou/r/ch/e_ouvert/tt/*e
fourmi|f/ou/r/m/i
fraise|f/r/ai_ouvert/s_z/*e
framboise|f/r/am/b/oi/s_z/*e
français|f/r/an/ç/ai_ouvert/*s
frère|f/r/e_grave/r/*e
frites|f/r/i/t/*e/*s
froid|f/r/oi/*d
front|f/r/on/*t
fruit|f/r/u_glisse/i/*t
fumée|f/u/m/e_aigu/*e
fusée|f/u/s_z/e_aigu/*e
garçon|g_g/a/r/ç/on
gâteau|g_g/a=â/t/eau
gazelle|g_g/a/z/e_ouvert/ll/*e
gentil|g_j/en_an/t/i/*l
gerboise|g_j/e_ouvert/r/b/oi/s_z/*e
glace|g_g/l/a/c_s/*e
glisser|g_g/l/i/ss/er
gouter|g_g/ou/t/er
grande|g_g/r/an/d/*e
grenouille|g_g/r/e_caduc/n/ou/ill/*e
griffe|g_g/r/i/ff/*e
grimper|g_g/r/im/p/er
grippe|g_g/r/i/pp/*e
gris|g_g/r/i/*s
gros|g_g/r/o/*s
grue|g_g/r/u/*e
habiter|*h/a/b/i/t/er
hache|*h/a/ch/*e
haricot|*h/a/r/i/c_k/o/*t
haut|*h/au/*t
hauteur|*h/au/t/eu/r
hélicoptère|*h/e_aigu/l/i/c_k/o/p/t/e_grave/r/*e
hérisson|*h/e_aigu/r/i/ss/on
heures|*h/eu/r/*e/*s
hibou|*h/i/b/ou
hier|*h/i_yod/e_ouvert/r
histoire|*h/i/s_s/t/oi/r/*e
hiver|*h/i/v/e_ouvert/r
homme|*h/o/mm/*e
huit|*h/u_glisse/i/t
ile|i/l/*e
image|i/m/a/g_j/*e
immeuble|i/mm/eu/b/l/*e
jamais|j/a/m/ai_ouvert/*s
jardin|j/a/r/d/in
jaune|j/au/n/*e
jeu|j/eu
jeudi|j/eu/d/i
jeune|j/eu/n/*e
joli|j/o/l/i
joue|j/ou/*e
jour|j/ou/r
journal|j/ou/r/n/a/l
judo|j/u/d/o
jupe|j/u/p/*e
juste|j/u/s_s/t/*e
lait|l/ai_ouvert/*t
laitue|l/ai_ouvert/t/u/*e
lapin|l/a/p/in
large|l/a/r/g_j/*e
larme|l/a/r/m/*e
lavabo|l/a/v/a/b/o
lentement|l/en_an/t/e_caduc/m/en_an/*t
lézard|l/e_aigu/z/a/r/*d
licorne|l/i/c_k/o/r/n/*e
linge|l/in/g_j/*e
lionceau|l/i_yod/on/c_s/eau
lit|l/i/*t
livre|l/i/v/r/*e
loin|l/oin
loup|l/ou/*p
lundi|l/un/d/i
lune|l/u/n/*e
lunettes|l/u/n/e_ouvert/tt/*e/*s
magasin|m/a/g_g/a/s_z/in
maillot|m/a/ill/o/*t
main|m/ain
maison|m/ai_ouvert/s_z/on
malin|m/a/l/in
malle|m/a/ll/*e
manche|m/an/ch/*e
manger|m/an/g_j/er
manteau|m/an/t/eau
mardi|m/a/r/d/i
marron|m/a/rr/on
marteau|m/a/r/t/eau
maternelle|m/a/t/e_ouvert/r/n/e_ouvert/ll/*e
melon|m/e_caduc/l/on
mer|m/e_ouvert/r
mercredi|m/e_ouvert/r/c_k/r/e_caduc/d/i
mère|m/e_grave/r/*e
métro|m/e_aigu/t/r/o
mettre|m/e_ouvert/tt/r/*e
micro|m/i/c_k/r/o
midi|m/i/d/i
mieux|m/i_yod/eu/*x
minute|m/i/n/u/t/*e
miroir|m/i/r/oi/r
monde|m/on/d/*e
montagne|m/on/t/a/gn/*e
montre|m/on/t/r/*e
moto|m/o/t/o
mouche|m/ou/ch/*e
mouchoir|m/ou/ch/oi/r
moulin|m/ou/l/in
mouton|m/ou/t/on
mur|m/u/r
neige|n/ei/g_j/*e
neuf|n/eu/f
neveu|n/e_caduc/v/eu
nez|n/ez
niche|n/i/ch/*e
nid|n/i/*d
nœud|n/oeu=œu/*d
noir|n/oi/r
noix|n/oi/*x
noyau|n/oy/au
nulle|n/u/ll/*e
numéro|n/u/m/e_aigu/r/o
œuf|oeu=œu/f
oiseau|oi/s_z/eau
ombre|om/b/r/*e
os|o/s_s
ours|ou/r/s_s
ouvrir|ou/v/r/i/r
palier|p/a/l/i_yod/er
panda|p/an/d/a
pantalon|p/an/t/a/l/on
papillon|p/a/p/ill_ij/on
parachute|p/a/r/a/ch/u/t/*e
parapluie|p/a/r/a/p/l/u_glisse/i/*e
parasol|p/a/r/a/s_s/o/l
parler|p/a/r/l/er
partie|p/a/r/t/i/*e
patte|p/a/tt/*e
pêche|p/e_circonflexe/ch/*e
pêcheur|p/e_circonflexe/ch/eu/r
pelage|p/e_caduc/l/a/g_j/*e
pelle|p/e_ouvert/ll/*e
pelouse|p/e_caduc/l/ou/s_z/*e
perdu|p/e_ouvert/r/d/u
père|p/e_grave/r/*e
personne|p/e_ouvert/r/s_s/o/nn/*e
petite|p/e_caduc/t/i/t/*e
phare|ph/a/r/*e
photo|ph/o/t/o
phrase|ph/r/a/s_z/*e
piano|p/i_yod/a/n/o
pied|p/i_yod/e_ferme/*d
pirate|p/i/r/a/t/*e
piscine|p/i/sc/i/n/*e
place|p/l/a/c_s/*e
planche|p/l/an/ch/*e
plante|p/l/an/t/*e
plat|p/l/a/*t
pleurer|p/l/eu/r/er
pluie|p/l/u_glisse/i/*e
plume|p/l/u/m/*e
plus|p/l/u/s_s
pneu|p/n/eu
poire|p/oi/r/*e
poireau|p/oi/r/eau
poisson|p/oi/ss/on
poitrine|p/oi/t/r/i/n/*e
pôle|p/o=ô/l/*e
pont|p/on/*t
porte|p/o/r/t/*e
porter|p/o/r/t/er
pot|p/o/*t
pouce|p/ou/c_s/*e
poule|p/ou/l/*e
poulet|p/ou/l/et_ouvert
poupée|p/ou/p/e_aigu/*e
poussin|p/ou/ss/in
pré|p/r/e_aigu
préau|p/r/e_aigu/au
premier|p/r/e_caduc/m/i_yod/er
première|p/r/e_caduc/m/i_yod/e_grave/r/*e
prendre|p/r/en_an/d/r/*e
printemps|p/r/in/t/em/*p/*s
puce|p/u/c_s/*e
pur|p/u/r
pyramide|p/y_i/r/a/m/i/d/*e
quartier|qu/a/r/t/i_yod/er
quatorze|qu/a/t/o/r/z/*e
queue|qu/eu/*e
quinze|qu/in/z/*e
quitter|qu/i/tt/er
radis|r/a/d/i/*s
raisin|r/ai_ouvert/s_z/in
rapide|r/a/p/i/d/*e
rat|r/a/*t
rayé|r/ay/e_aigu
récréation|r/e_aigu/c_k/r/e_aigu/a/t_s/i_yod/on
reçu|r/e_caduc/ç/u
régaler|r/e_aigu/g_g/a/l/er
regarder|r/e_caduc/g_g/a/r/d/er
reine|r/ei/n/*e
renard|r/e_caduc/n/a/r/*d
rentrer|r/en_an/t/r/er
repas|r/e_caduc/p/a/*s
répondre|r/e_aigu/p/on/d/r/*e
respirer|r/e_ouvert/s_s/p/i/r/er
rester|r/e_ouvert/s_s/t/er
retard|r/e_caduc/t/a/r/*d
rire|r/i/r/*e
robe|r/o/b/*e
robinet|r/o/b/i/n/et_ouvert
robot|r/o/b/o/*t
rocher|r/o/ch/er
roi|r/oi
rond|r/on/*d
ronger|r/on/g_j/er
rose|r/o/s_z/*e
roue|r/ou/*e
rouge|r/ou/g_j/*e
ruche|r/u/ch/*e
rue|r/u/*e
ruelle|r/u_glisse/e_ouvert/ll/*e
sable|s_s/a/b/l/*e
saison|s_s/ai_ouvert/s_z/on
salade|s_s/a/l/a/d/*e
salle|s_s/a/ll/*e
samedi|s_s/a/m/e_caduc/d/i
sapin|s_s/a/p/in
saucisse|s_s/au/c_s/i/ss/*e
saumon|s_s/au/m/on
sauver|s_s/au/v/er
savon|s_s/a/v/on
seize|s_s/ei/z/*e
semaine|s_s/e_caduc/m/ai_ouvert/n/*e
sept|s_s/e_ouvert/*p/t
serpent|s_s/e_ouvert/r/p/en_an/*t
seul|s_s/eu/l
siège|s_s/i_yod/e_grave/g_j/*e
sirène|s_s/i/r/e_grave/n/*e
sirop|s_s/i/r/o/*p
six|s_s/i/x_s
sœur|s_s/oeu=œu/r
soir|s_s/oi/r
soleil|s_s/o/l/e_ouvert/il_yod
sorcier|s_s/o/r/c_s/i_yod/er
souffler|s_s/ou/ff/l/er
soupe|s_s/ou/p/*e
souris|s_s/ou/r/i/*s
souvent|s_s/ou/v/en_an/*t
stylo|s_s/t/y_i/l/o
sucre|s_s/u/c_k/r/*e
supermarché|s_s/u/p/e_ouvert/r/m/a/r/ch/e_aigu
sur|s_s/u/r
suspendu|s_s/u/s_s/p/en_an/d/u
table|t/a/b/l/*e
tambour|t/am/b/ou/r
tapis|t/a/p/i/*s
tarte|t/a/r/t/*e
tartine|t/a/r/t/i/n/*e
taureau|t/au/r/eau
téléphone|t/e_aigu/l/e_aigu/ph/o/n/*e
télévision|t/e_aigu/l/e_aigu/v/i/s_z/i_yod/on
temps|t/em/*p/*s
terre|t/e_ouvert/rr/*e
tête|t/e_circonflexe/t/*e
tigre|t/i/g_g/r/*e
timbre|t/im/b/r/*e
tire|t/i/r/*e
tirer|t/i/r/er
toit|t/oi/*t
tomate|t/o/m/a/t/*e
tortue|t/o/r/t/u/*e
tôt|t/o=ô/*t
touche|t/ou/ch/*e
toujours|t/ou/j/ou/r/*s
tourner|t/ou/r/n/er
tournevis|t/ou/r/n/e_caduc/v/i/s_s
train|t/r/ain
trait|t/r/ai_ouvert/*t
trajet|t/r/a/j/et_ouvert
traverser|t/r/a/v/e_ouvert/r/s_s/er
trèfle|t/r/e_grave/f/l/*e
trésor|t/r/e_aigu/s_z/o/r
trois|t/r/oi/*s
trône|t/r/o=ô/n/*e
trou|t/r/ou
troupeau|t/r/ou/p/eau
trousse|t/r/ou/ss/*e
trouver|t/r/ou/v/er
tulipe|t/u/l/i/p/*e
usine|u/s_z/i/n/*e
utile|u/t/i/l/*e
utiliser|u/t/i/l/i/s_z/er
vacances|v/a/c_k/an/c_s/*e/*s
vache|v/a/ch/*e
valise|v/a/l/i/s_z/*e
vase|v/a/s_z/*e
veau|v/eau
vélo|v/e_aigu/l/o
velours|v/e_caduc/l/ou/r/*s
vendre|v/en_an/d/r/*e
vendredi|v/en_an/d/r/e_caduc/d/i
vendu|v/en_an/d/u
ventre|v/en_an/t/r/*e
ver|v/e_ouvert/r
verbe|v/e_ouvert/r/b/*e
verre|v/e_ouvert/rr/*e
vers|v/e_ouvert/r/*s
verser|v/e_ouvert/r/s_s/er
vert|v/e_ouvert/r/*t
viande|v/i_yod/an/d/*e
vide|v/i/d/*e
vie|v/i/*e
vieux|v/i_yod/eu/*x
vif|v/i/f
village|v/i/ll/a/g_j/*e
ville|v/i/ll/*e
vingt|v/in/*g/*t
violon|v/i_yod/o/l/on
vite|v/i/t/*e
voici|v/oi/c_s/i
voiture|v/oi/t/u/r/*e
volcan|v/o/l/c_k/an
voler|v/o/l/er
vous|v/ou/*s
vue|v/u/*e
wagon|w_v/a/g_g/on
yeux|y_yod/eu/*x
zèbre|z/e_grave/b/r/*e
zéro|z/e_aigu/r/o
zoo|z/oo_o
